ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008d.B.argumentstructs.Daan.1,B,266.28,280.112,We haven't um uh specified where the speaker or the microphone will be placed. That depends on the uh s design of the circuit board inside and uh what room is left um,NONE,"IS1008d.A.argumentstructs.Daan.1, IS1008d.C.argumentstructs.Daan.1, IS1008d.A.argumentstructs.Daan.3"
IS1008d.C.argumentstructs.18,C,279.99,280.24,Yeah.,NONE,NONE
IS1008d.A.argumentstructs.Daan.1,A,281.35,286.27,"I think the microphone is on on the top, uh on the middle, the  under the flip.",IS1008d.B.argumentstructs.Daan.1,IS1008d.A.argumentstructs.Daan.2
IS1008d.B.argumentstructs.20,B,283.97,287.01,"Yes, okay. Uh-huh.",NONE,NONE
IS1008d.A.argumentstructs.Daan.2,A,288.04,295.341,"So that will be the safe, so p any  the chip  it's not on the chip because you need to have microphone  to",IS1008d.A.argumentstructs.Daan.1,IS1008d.B.argumentstructs.Daan.2
IS1008d.B.argumentstructs.Daan.2,B,294.87,297.15,"No, I mean it depends on the design of the circuit board.",IS1008d.A.argumentstructs.Daan.2,NONE
IS1008d.C.argumentstructs.Daan.1,C,298.02,305.82,"But it shouldn't be under the flip either, because you can have the remote control closed, but you still might want to activate it by voice.",IS1008d.B.argumentstructs.Daan.1,NONE
IS1008d.A.argumentstructs.24,A,304.11,305.05,Uh it's it's,NONE,NONE
IS1008d.A.argumentstructs.Daan.3,A,305.91,324.85,"Yeah, but uh uh my opinion I think it's better under the flip because whenever you want to uh the talk, okay, so then you can speak then you can close it. But if you put it on the on the flip, okay, then uh technical I don't think it's uh feasible, 'cause most of the time you speak then it will be recognised.",IS1008d.B.argumentstructs.Daan.1,"IS1008d.C.argumentstructs.Daan.2, IS1008d.C.argumentstructs.Daan.4"
IS1008d.C.argumentstructs.Daan.2,C,324.72,338.66,"But if you've already got the remote control in your hand you need to open the flip to use the voice, why use the voice, why not just use your hand ? I mean the whole point of the voice is that if the remote control is sitting there and I'm too lazy to reach over and pick it up, I can just use my voice.",IS1008d.A.argumentstructs.Daan.3,IS1008d.B.argumentstructs.Daan.3
IS1008d.B.argumentstructs.Daan.3,B,338.28,343.93,Maybe I've got my hand in the popcorn bowl and I'm holding my cup of Coca-Cola in the other hand.,IS1008d.C.argumentstructs.Daan.2,IS1008d.C.argumentstructs.Daan.3
IS1008d.C.argumentstructs.Daan.3,C,344.6,348.776,Yeah. And you don't wanna let go of either one.,IS1008d.B.argumentstructs.Daan.3,IS1008d.D.argumentstructs.Daan.1
IS1008d.D.argumentstructs.Daan.1,D,345.49,350.14,I don't wanna say. Louder.  Yeah.,IS1008d.C.argumentstructs.Daan.3,NONE
IS1008d.C.argumentstructs.Daan.4,C,350.13,352.93,"I mean it doesn't have to be on the flip, it can be on the side somewhere.",IS1008d.A.argumentstructs.Daan.3,"IS1008d.A.argumentstructs.Daan.4, IS1008d.D.argumentstructs.Daan.2"
IS1008d.D.argumentstructs.Daan.2,D,352.21,353.25,Can also be on the side.,IS1008d.C.argumentstructs.Daan.4,NONE
IS1008d.A.argumentstructs.Daan.4,A,352.87,355.35,"Yeah, the sides maybe is good. So That's good idea.",IS1008d.C.argumentstructs.Daan.4,NONE
IS1008d.C.argumentstructs.19,C,353.49,353.9,Yeah.,NONE,NONE
IS1008d.B.argumentstructs.21,B,354.97,355.41,Mm-hmm.,NONE,NONE
