ae_id,speaker,start_time,end_time,sentence,source,targets
IS1008d.D.argumentstructs.Daan.3,D,821.08,839.47,"So, obviously we w w I just did a run down the evaluation of the form, the fan uh the fancy stylishness of the  of the unit, the ease of use, speech recognition, cost, we've gone through these. Now, the company must evaluate the feasibility of being able to take enough of the market to justify in production.",NONE,IS1008d.D.argumentstructs.Daan.4
IS1008d.D.argumentstructs.Daan.4,D,840.59,856.22,"Or we project this over two years, but being that the market changes very very quickly, maybe there's no more interest in buying this thing in eighteen months from now. So, now we have to come up with a decision. Can the company sell two million units ? Can it sell it for fifty Euros ?",IS1008d.D.argumentstructs.Daan.3,"IS1008d.A.argumentstructs.Daan.5, IS1008d.B.argumentstructs.Daan.4"
IS1008d.A.argumentstructs.25,A,845.45,848.49,Yes. Yep.,NONE,NONE
IS1008d.A.argumentstructs.Daan.5,A,849.42,850.21,Of course.,IS1008d.D.argumentstructs.Daan.4,NONE
IS1008d.C.argumentstructs.20,C,849.59,849.84,Mm.,NONE,NONE
IS1008d.A.argumentstructs.26,A,853.4,891.27,Yep. Yep. Yes. Yes.,NONE,NONE
IS1008d.B.argumentstructs.Daan.4,B,855.18,893.22,"Could could I go to findings ? Uh uh um I would uh like to explore the possibility of using um alternative um delivery and sales channel which would be um to use the internet for promotion and ordering and then to drop-ship the p product to the customer's residence. That way you have no storage, you have no um  you do have transportation, still have the labour cost, but you don't have the transport to the uh point of sale. The point of sale is online.",IS1008d.D.argumentstructs.Daan.4,"IS1008d.C.argumentstructs.Daan.5, IS1008d.B.argumentstructs.Daan.9"
IS1008d.C.argumentstructs.Daan.5,C,872.408,874.55,"I was thinking the same thing, yeah.",IS1008d.B.argumentstructs.Daan.4,IS1008d.C.argumentstructs.Daan.6
IS1008d.C.argumentstructs.Daan.6,C,878.72,879.41,Directly.,IS1008d.C.argumentstructs.Daan.5,IS1008d.A.argumentstructs.Daan.6
IS1008d.C.argumentstructs.21,C,884.57,891.44,Um-hmm. Yeah.,NONE,NONE
IS1008d.A.argumentstructs.Daan.6,A,892.39,893.27,To the agents.,IS1008d.C.argumentstructs.Daan.6,IS1008d.C.argumentstructs.Daan.7
IS1008d.C.argumentstructs.Daan.7,C,894.08,901.12,"Yeah. You can do a shipping centre somewhere, or strategically place shipping centres to minimise distance costs.",IS1008d.A.argumentstructs.Daan.6,IS1008d.B.argumentstructs.Daan.5
IS1008d.B.argumentstructs.Daan.5,B,898.53,904.12,"Right, like Amazon. In fact, we should sell through Amazon, don't you think ? Or eBay, yeah.",IS1008d.C.argumentstructs.Daan.7,"IS1008d.A.argumentstructs.Daan.7, IS1008d.B.argumentstructs.Daan.6, IS1008d.A.argumentstructs.Daan.9, IS1008d.C.argumentstructs.Daan.8"
IS1008d.A.argumentstructs.27,A,900.73,901.09,Yes.,NONE,NONE
IS1008d.A.argumentstructs.Daan.7,A,902.19,903.099,"Or eBay, or",IS1008d.B.argumentstructs.Daan.5,NONE
IS1008d.A.argumentstructs.28,A,903.82,904.34,Yes.,NONE,NONE
IS1008d.C.argumentstructs.22,C,904.18,904.46,Yeah.,NONE,NONE
IS1008d.B.argumentstructs.Daan.6,B,906.38,909.984,There's an idea. Going with um,IS1008d.B.argumentstructs.Daan.5,NONE
IS1008d.A.argumentstructs.Daan.9,A,907.28,908.19,"Yeah, that's a good idea.",IS1008d.B.argumentstructs.Daan.5,"IS1008d.A.argumentstructs.Daan.10, IS1008d.D.argumentstructs.Daan.5, IS1008d.B.argumentstructs.Daan.7"
IS1008d.A.argumentstructs.Daan.10,A,909.54,911.168,To impro more profit and uh,IS1008d.A.argumentstructs.Daan.9,NONE
IS1008d.D.argumentstructs.Daan.5,D,910.53,914.7,S Upscale technology.  Well.,IS1008d.A.argumentstructs.Daan.9,NONE
IS1008d.A.argumentstructs.29,A,911.68,979.49,"Yeah, yes. Yeah.",NONE,NONE
IS1008d.B.argumentstructs.Daan.7,B,912.58,917.568,"Ah, we we're do you know, selling a unique product uh.",IS1008d.A.argumentstructs.Daan.9,NONE
IS1008d.C.argumentstructs.Daan.8,C,918.6,940.432,"That actually makes more sense if we're gonna make it so highly customisable, 'cause on the web people can look at the different options they have, see maybe what other people have done, what the range of possibility as, whereas if you're in a store, you can't  unless you're a highly imaginative person, you may not really know what it is you want, whereas on the web, if you have a bunch of pictures, it can sort of trigger ideas and",IS1008d.B.argumentstructs.Daan.5,"IS1008d.D.argumentstructs.Daan.6, IS1008d.B.argumentstructs.Daan.8, IS1008d.D.argumentstructs.Daan.7"
IS1008d.B.argumentstructs.22,B,927.6,938.59,Mm. Mm. Mm-hmm.,NONE,NONE
IS1008d.D.argumentstructs.Daan.6,D,928.5,930.25,There are several companies that have gone that way.,IS1008d.C.argumentstructs.Daan.8,NONE
IS1008d.B.argumentstructs.Daan.8,B,940.81,948.94,And you can even have an  a movie that you can rotate the object and look at the di the only thing that you're missing really is the weight.,IS1008d.C.argumentstructs.Daan.8,IS1008d.D.argumentstructs.Daan.9
IS1008d.C.argumentstructs.23,C,945.94,985.56,Yeah. The weight and feel. Yeah. Yeah. Yeah. Mm-hmm. Yes. Mm-hmm.,NONE,NONE
IS1008d.D.argumentstructs.15,D,948.66,951.04,"Weight, the feel of the product, but",NONE,NONE
IS1008d.B.argumentstructs.23,B,950.11,950.36,Mm.,NONE,NONE
