ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009b.A.argumentstructs.Daan.5,A,1868.47,1903.71,"Well maybe there's  there's an idea you know t the new for example new portable phones ? They have like removable plastic cases, so you can have a striped one or you can have a fluorescent blue one, or whatever, and maybe something like that, that in each package you know you have  you you have  you have for example uh  you have let's say a fluorescent blue on it but then you have uh another colour or stripe whatever that already comes in a package. And then if people really want more colours they can buy it separately",NONE,"IS1009b.D.argumentstructs.Daan.5, IS1009b.C.argumentstructs.Daan.5, IS1009b.D.argumentstructs.Daan.6"
IS1009b.D.argumentstructs.8,D,1873.63,1882.55,Mm-hmm. Yeah. Mm-hmm.,NONE,NONE
IS1009b.D.argumentstructs.Daan.5,D,1887.25,1888.8,Well there's a real idea yeah.,IS1009b.A.argumentstructs.Daan.5,NONE
IS1009b.D.argumentstructs.9,D,1894.73,1911.12,Mm-hmm. Yeah. Right. Mm-hmm. Uh yeah.,NONE,NONE
IS1009b.C.argumentstructs.8,C,1899.66,1899.95,Hmm.,NONE,NONE
IS1009b.A.argumentstructs.11,A,1903.71,1906.5,". You know, yes.",NONE,NONE
IS1009b.C.argumentstructs.Daan.5,C,1904.62,1911.33,"Yeah, like for mobile phones we have uh different you know covers, like designs and all so that w we can have that.",IS1009b.A.argumentstructs.Daan.5,IS1009b.A.argumentstructs.Daan.6
IS1009b.B.argumentstructs.5,B,1909.04,1909.29,Yes.,NONE,NONE
IS1009b.A.argumentstructs.Daan.6,A,1909.27,1926.96,"That's right, and  but like if if then everybody is is is tired of the fluorescent blue and of the striped or whatever they have as another one in the package, then they can go to the store and for a few uh Francs or Euros whatever they can buy an alternate package with another two colours in it you know for example you know.",IS1009b.C.argumentstructs.Daan.5,NONE
IS1009b.C.argumentstructs.9,C,1919.19,1919.42,Yeah.,NONE,NONE
IS1009b.D.argumentstructs.Daan.6,D,1922.28,1923.22,An alternate package.,IS1009b.A.argumentstructs.Daan.5,IS1009b.D.argumentstructs.Daan.7
IS1009b.D.argumentstructs.Daan.7,D,1926.34,1927.25,Yeah. Okay.,IS1009b.D.argumentstructs.Daan.6,NONE
