ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009b.D.argumentstructs.Daan.1,D,853.0,861.728,"Now that's good from a marketing point of view, the fun  the fun shape. And that  you you say that won't add too much to the budget ? To d the shape is uh",NONE,"IS1009b.C.argumentstructs.Daan.1, IS1009b.A.argumentstructs.Daan.1, IS1009b.D.argumentstructs.Daan.2"
IS1009b.C.argumentstructs.Daan.1,C,854.88,858.06,"Yeah, yeah, yeah and colours also, different colours, and",IS1009b.D.argumentstructs.Daan.1,IS1009b.C.argumentstructs.Daan.2
IS1009b.A.argumentstructs.7,A,857.0,857.41,Yeah I,NONE,NONE
IS1009b.B.argumentstructs.3,B,857.27,857.77,Mm-hmm colours.,NONE,NONE
IS1009b.C.argumentstructs.Daan.2,C,860.09,865.779,"No no no, it won't uh I don't think it will be like, you can have you know for uh if you want ther there to be more",IS1009b.C.argumentstructs.Daan.1,NONE
IS1009b.A.argumentstructs.Daan.1,A,864.37,867.48,It just build a mould basically and uh you know.,IS1009b.D.argumentstructs.Daan.1,"IS1009b.C.argumentstructs.Daan.3, IS1009b.B.argumentstructs.Daan.1, IS1009b.A.argumentstructs.Daan.2"
IS1009b.C.argumentstructs.Daan.3,C,866.27,869.26,Yeah yeah. It's it's just a s shape so it doesn't matter.,IS1009b.A.argumentstructs.Daan.1,NONE
IS1009b.B.argumentstructs.Daan.1,B,867.14,868.06,Yes exactly.,IS1009b.A.argumentstructs.Daan.1,NONE
IS1009b.A.argumentstructs.Daan.2,A,869.28,874.688,As the budget we're looking at if you build one mould I don't think that's going to make a big difference whether it's gonna be square or,IS1009b.A.argumentstructs.Daan.1,NONE
IS1009b.C.argumentstructs.6,C,871.8,872.32,Yeah.,NONE,NONE
IS1009b.D.argumentstructs.Daan.2,D,875.57,882.67,Do you think there's any chance of um having ser in  having basically the same machine with the same buttons but maybe several different shapes ?,IS1009b.D.argumentstructs.Daan.1,"IS1009b.C.argumentstructs.Daan.4, IS1009b.D.argumentstructs.Daan.3"
IS1009b.C.argumentstructs.Daan.4,C,883.0,885.7,Yeah that is also possible I uh yeah I I yeah.,IS1009b.D.argumentstructs.Daan.2,NONE
IS1009b.A.argumentstructs.8,A,883.57,884.05,Oh yes.,NONE,NONE
IS1009b.D.argumentstructs.Daan.3,D,884.16,886.82,Is that gonna be a possible ? 'Cause that might help with the marketing.,IS1009b.D.argumentstructs.Daan.2,"IS1009b.A.argumentstructs.Daan.3, IS1009b.D.argumentstructs.Daan.4"
IS1009b.B.argumentstructs.4,B,884.66,885.05,Yes.,NONE,NONE
IS1009b.A.argumentstructs.Daan.3,A,885.31,891.83,"I think  I think we will have to look at the budget on that but I think in principle that that would be  that would be kind of fun, you know.",IS1009b.D.argumentstructs.Daan.3,NONE
IS1009b.C.argumentstructs.7,C,891.2,900.28,"Yeah yeah. Mm-hmm. Yeah, for children, yeah exactly. Yeah, that's what, yeah.",NONE,NONE
IS1009b.D.argumentstructs.Daan.4,D,891.44,903.552,Because we had something sort of sexy for adults and we could have something sort of silly for children or a little animal shape or in a  or a little elephant so they can remember where it is.,IS1009b.D.argumentstructs.Daan.3,"IS1009b.A.argumentstructs.Daan.4, IS1009b.B.argumentstructs.Daan.2"
IS1009b.A.argumentstructs.9,A,894.05,896.61,Yeah. Silly for children.,NONE,NONE
IS1009b.A.argumentstructs.Daan.4,A,897.33,898.751,Like an animal or,IS1009b.D.argumentstructs.Daan.4,NONE
IS1009b.B.argumentstructs.Daan.2,B,898.13,899.696,"Like a doll, or",IS1009b.D.argumentstructs.Daan.4,NONE
IS1009b.A.argumentstructs.10,A,899.65,900.04,Yeah.,NONE,NONE
