ae_id,speaker,start_time,end_time,sentence,source,targets
TS3003b.A.argumentstructs.Daan.13,A,1854.3,1865.913,"point is the L_C_D_ screen. Um I don't know if that will rise the cost too much, because",NONE,TS3003b.C.argumentstructs.Daan.9
TS3003b.C.argumentstructs.Daan.9,C,1865.23,1869.74,"Y i um I think we'll have to choose between the docking station or the screen, 'cause",TS3003b.A.argumentstructs.Daan.13,"TS3003b.A.argumentstructs.Daan.14, TS3003b.D.argumentstructs.Daan.16"
TS3003b.A.argumentstructs.Daan.14,A,1870.82,1872.91,Yeah. It will be too much as well.,TS3003b.C.argumentstructs.Daan.9,NONE
TS3003b.C.argumentstructs.10,C,1871.19,1871.8,it's uh,NONE,NONE
TS3003b.B.argumentstructs.8,B,1871.5,1909.28,Mm. Okay. Yeah. Yeah.,NONE,NONE
TS3003b.D.argumentstructs.Daan.16,D,1873.15,1890.68,"I think since a lot of people indicated that a new remote control is hard to learn, and we're focusing on elderly people here which tend to have a hard time understanding new devices, it might be a good idea to have just a little screen on it, which would explain a button if you press it. Which would tell you what it does.",TS3003b.C.argumentstructs.Daan.9,"TS3003b.D.argumentstructs.Daan.17, TS3003b.A.argumentstructs.Daan.15"
TS3003b.A.argumentstructs.26,A,1892.2,1896.1,Yeah. Based.,NONE,NONE
TS3003b.D.argumentstructs.Daan.17,D,1893.11,1897.476,"And it wouldn't have to be touchscreen or a very expensive screen, but",TS3003b.D.argumentstructs.Daan.16,NONE
TS3003b.A.argumentstructs.Daan.15,A,1898.96,1901.7,Just the L_C_D_. Oh just the normal screen.,TS3003b.D.argumentstructs.Daan.16,"TS3003b.D.argumentstructs.Daan.18, TS3003b.D.argumentstructs.Daan.19, TS3003b.A.argumentstructs.Daan.18"
TS3003b.D.argumentstructs.Daan.18,D,1902.38,1904.697,Just a small screen with two,TS3003b.A.argumentstructs.Daan.15,"TS3003b.A.argumentstructs.Daan.16, TS3003b.A.argumentstructs.Daan.17"
TS3003b.A.argumentstructs.Daan.16,A,1903.17,1907.43,That's a good idea. So  Some extra info. Feedback,TS3003b.D.argumentstructs.Daan.18,NONE
TS3003b.D.argumentstructs.28,D,1906.96,1907.36,Yeah.,NONE,NONE
TS3003b.A.argumentstructs.27,A,1907.43,1907.43,.,NONE,NONE
TS3003b.A.argumentstructs.Daan.17,A,1908.98,1910.6,Yeah. I think that's a good idea as well.,TS3003b.D.argumentstructs.Daan.18,NONE
TS3003b.D.argumentstructs.Daan.19,D,1911.51,1913.07,But I dunno if that would,TS3003b.A.argumentstructs.Daan.15,TS3003b.D.argumentstructs.Daan.20
TS3003b.A.argumentstructs.28,A,1914.64,1915.84,As the small screen.,NONE,NONE
TS3003b.D.argumentstructs.Daan.20,D,1915.19,1920.28,that would fit into the costs.,TS3003b.D.argumentstructs.Daan.19,NONE
TS3003b.A.argumentstructs.Daan.18,A,1924.27,1925.8,Extra button info.,TS3003b.A.argumentstructs.Daan.15,TS3003b.A.argumentstructs.Daan.19
TS3003b.A.argumentstructs.Daan.19,A,1929.41,1950.877,"I think that should be possible as well. Um  let's see what did we say. Mm. More. Should be fancy to, fancy design, easy to learn. Few buttons, we talked about that. Docking station, L_C_D_. Um general functions",TS3003b.A.argumentstructs.Daan.18,NONE
TS3003b.A.argumentstructs.29,A,1952.5,1956.46,Yeah. 'Kay.,NONE,NONE
