ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004b.D.argumentstructs.Daan.3,D,585.05,602.8,And I I found a motto. And we put the fashion in electronics. And that's uh the motto we are uh referenced to uh for our uh our style. We we have to make a  a new product. We have to be um  Yeah.,NONE,"TS3004b.D.argumentstructs.Daan.4, TS3004b.D.argumentstructs.Daan.5"
TS3004b.D.argumentstructs.Daan.4,D,604.39,606.29,"One of a kind, I think.",TS3004b.D.argumentstructs.Daan.3,TS3004b.A.argumentstructs.Daan.1
TS3004b.A.argumentstructs.Daan.1,A,605.86,609.67,"So it has to look uh uh uh unique, but",TS3004b.D.argumentstructs.Daan.4,NONE
TS3004b.D.argumentstructs.Daan.5,D,608.437,612.25,"The company is about our uh th th their own fashion, their own style.",TS3004b.D.argumentstructs.Daan.3,TS3004b.A.argumentstructs.Daan.2
TS3004b.A.argumentstructs.10,A,612.14,612.39,Yeah.,NONE,NONE
TS3004b.A.argumentstructs.Daan.2,A,613.32,615.02,But old people are not looking for that.,TS3004b.D.argumentstructs.Daan.5,"TS3004b.C.argumentstructs.Daan.1, TS3004b.B.argumentstructs.Daan.2"
TS3004b.A.argumentstructs.11,A,616.38,644.64,Not really. Okay. Yeah. Yeah. Okay. Thanks.,NONE,NONE
TS3004b.C.argumentstructs.Daan.1,C,617.45,625.62,"Yeah. I think the main thing is the usability, that's where we can uh make it a special product. Yeah.",TS3004b.A.argumentstructs.Daan.2,NONE
TS3004b.B.argumentstructs.8,B,622.21,622.45,Yeah.,NONE,NONE
TS3004b.B.argumentstructs.Daan.2,B,625.15,641.635,"But uh we also have to stand out, 'cause there are already, like you said, so many controls out that support lot of stuff. But we have to make sure that we're better usability, and stand out by just looks of it. So make it just a different colour or different shape, so",TS3004b.A.argumentstructs.Daan.2,NONE
TS3004b.D.argumentstructs.8,D,625.48,644.97,"Sorry I thought about it, yes. Okay, this was uh my presentation.",NONE,NONE
TS3004b.C.argumentstructs.9,C,645.72,646.03,Okay.,NONE,NONE
