ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005d.D.argumentstructs.Daan.5,D,1692.87,1694.01,They can add two colours.,NONE,TS3005d.D.argumentstructs.Daan.6
TS3005d.D.argumentstructs.Daan.6,D,1699.13,1706.984,"But the colours. Um how ma uh the colours like l she told, is that all the colours we add or",TS3005d.D.argumentstructs.Daan.5,TS3005d.C.argumentstructs.Daan.4
TS3005d.C.argumentstructs.Daan.4,C,1708.07,1713.03,"How d uh uh how many colours ? Special colours, all the colours you want, because you want to make p",TS3005d.D.argumentstructs.Daan.6,"TS3005d.B.argumentstructs.Daan.5, TS3005d.D.argumentstructs.Daan.7, TS3005d.B.argumentstructs.Daan.8, TS3005d.A.argumentstructs.Daan.1"
TS3005d.B.argumentstructs.Daan.5,B,1708.97,1709.52,What do you mean ?,TS3005d.C.argumentstructs.Daan.4,NONE
TS3005d.D.argumentstructs.Daan.7,D,1711.97,1717.15,"Yeah, but we we we are  we have yellow, red, uh black, titanium.",TS3005d.C.argumentstructs.Daan.4,TS3005d.C.argumentstructs.Daan.5
TS3005d.C.argumentstructs.Daan.5,C,1716.73,1720.06,"Yeah, but uh when you use more than one colour, it's a special colour.",TS3005d.D.argumentstructs.Daan.7,TS3005d.B.argumentstructs.Daan.6
TS3005d.D.argumentstructs.15,D,1720.17,1720.74,Ah okay.,NONE,NONE
TS3005d.B.argumentstructs.Daan.6,B,1720.19,1726.06,"Oh. But I think when you use the colour that's not originally the rubber then you use special colour, 'cause you have to add it.",TS3005d.C.argumentstructs.Daan.5,"TS3005d.C.argumentstructs.Daan.6, TS3005d.D.argumentstructs.Daan.8"
TS3005d.C.argumentstructs.Daan.6,C,1721.26,1721.78,I suppose.,TS3005d.B.argumentstructs.Daan.6,NONE
TS3005d.C.argumentstructs.9,C,1725.48,1725.78,Yeah.,NONE,NONE
TS3005d.D.argumentstructs.Daan.8,D,1725.71,1727.24,"Yeah, but the rubbers alls original black.",TS3005d.B.argumentstructs.Daan.6,TS3005d.B.argumentstructs.Daan.7
TS3005d.B.argumentstructs.Daan.7,B,1727.74,1732.86,"Yeah, so you always lose the special colour. You co you could make it always black, like normal remote.",TS3005d.D.argumentstructs.Daan.8,TS3005d.D.argumentstructs.Daan.9
TS3005d.D.argumentstructs.16,D,1729.94,1730.16,Yeah b,NONE,NONE
TS3005d.D.argumentstructs.Daan.9,D,1731.51,1737.12,"Yeah, but we're gonna make it yellow  uh red, and then you add  you have two special colours on top of the one we have now.",TS3005d.B.argumentstructs.Daan.7,TS3005d.C.argumentstructs.Daan.7
TS3005d.C.argumentstructs.Daan.7,C,1736.64,1739.38,Nee we we also want to make ano another colour,TS3005d.D.argumentstructs.Daan.9,NONE
TS3005d.B.argumentstructs.Daan.8,B,1738.05,1744.09,"Oh right, yeah. Yeah, we should u Yeah. We have to make this like four or five or something. That's what it means.",TS3005d.C.argumentstructs.Daan.4,TS3005d.D.argumentstructs.Daan.10
TS3005d.C.argumentstructs.10,C,1739.38,1739.38,.,NONE,NONE
TS3005d.D.argumentstructs.17,D,1739.66,1740.18,"Yeah, but m",NONE,NONE
TS3005d.D.argumentstructs.Daan.10,D,1742.4,1744.89,"Yeah, because we have more colours than only black.",TS3005d.B.argumentstructs.Daan.8,NONE
TS3005d.A.argumentstructs.Daan.1,A,1745.19,1748.06,"Yeah, but isn't it per remote that you pay ?",TS3005d.C.argumentstructs.Daan.4,TS3005d.A.argumentstructs.Daan.2
TS3005d.B.argumentstructs.12,B,1745.22,1752.07,"Yeah. Oh right, yeah. Is it per remote ? Yeah.",NONE,NONE
TS3005d.D.argumentstructs.18,D,1746.35,1749.78,then I think I p I don I don't think they me mean they're special,NONE,NONE
TS3005d.A.argumentstructs.Daan.2,A,1749.25,1755.84,Half ? I think you pay half per remote. So each remote with a special colour.,TS3005d.A.argumentstructs.Daan.1,"TS3005d.B.argumentstructs.Daan.9, TS3005d.C.argumentstructs.Daan.8, TS3005d.D.argumentstructs.Daan.11"
TS3005d.B.argumentstructs.Daan.9,B,1753.42,1757.17,"Yeah, that's right, and you  one colour per remote. So then it is one.",TS3005d.A.argumentstructs.Daan.2,NONE
TS3005d.C.argumentstructs.Daan.8,C,1755.71,1762.76,"Yeah, indeed, yeah. You don't need four of those  uh four of those special colours in one in one remote.",TS3005d.A.argumentstructs.Daan.2,NONE
TS3005d.D.argumentstructs.Daan.11,D,1760.01,1760.92,"Yeah, okay okay, true.",TS3005d.A.argumentstructs.Daan.2,TS3005d.D.argumentstructs.Daan.12
TS3005d.D.argumentstructs.Daan.12,D,1761.92,1762.34,"True, true.",TS3005d.D.argumentstructs.Daan.11,NONE
TS3005d.B.argumentstructs.13,B,1763.16,1763.46,No.,NONE,NONE
TS3005d.A.argumentstructs.3,A,1764.83,1765.2,I hope.,NONE,NONE
