ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.D.argumentstructs.Daan.16,D,1831.03,1839.37,"And then then yellow and orange and red objects on it or something. But then then again, which colour should the buttons be ?",NONE,"TS3006c.D.argumentstructs.Daan.17, TS3006c.A.argumentstructs.Daan.23, TS3006c.A.argumentstructs.Daan.24, TS3006c.C.argumentstructs.Daan.19, TS3006c.D.argumentstructs.Daan.18, TS3006c.B.argumentstructs.Daan.15"
TS3006c.B.argumentstructs.23,B,1835.2,1835.5,Mm.,NONE,NONE
TS3006c.C.argumentstructs.32,C,1836.11,1836.73,Yeah.,NONE,NONE
TS3006c.D.argumentstructs.Daan.17,D,1840.91,1844.655,The the press buttons. Should they be white or black or,TS3006c.D.argumentstructs.Daan.16,NONE
TS3006c.A.argumentstructs.Daan.23,A,1844.79,1845.58,Red maybe.,TS3006c.D.argumentstructs.Daan.16,NONE
TS3006c.B.argumentstructs.Daan.15,B,1845.7,1849.659,"And it it looks quite cheap, that colour I think. It's it's not",TS3006c.D.argumentstructs.Daan.16,"TS3006c.D.argumentstructs.Daan.24, TS3006c.C.argumentstructs.Daan.25"
TS3006c.D.argumentstructs.36,D,1846.36,1846.67,Uh,NONE,NONE
TS3006c.A.argumentstructs.Daan.24,A,1846.92,1847.38,Black.,TS3006c.D.argumentstructs.Daan.16,NONE
TS3006c.C.argumentstructs.Daan.19,C,1849.3,1850.22,The green ?,TS3006c.D.argumentstructs.Daan.16,NONE
TS3006c.B.argumentstructs.Daan.16,B,1850.28,1851.64,Yeah. I dunno.,TS3006c.D.argumentstructs.Daan.24,NONE
TS3006c.D.argumentstructs.Daan.24,D,1850.28,1852.91,"Yeah but it's pretty fresh, on the other side.",TS3006c.B.argumentstructs.Daan.15,TS3006c.B.argumentstructs.Daan.16
TS3006c.C.argumentstructs.Daan.25,C,1854.3,1856.38,It's actually a pretty trendy colour at the moment.,TS3006c.B.argumentstructs.Daan.15,NONE
TS3006c.B.argumentstructs.24,B,1858.85,1882.96,Mm. Yeah. Yeah.,NONE,NONE
TS3006c.A.argumentstructs.44,A,1871.32,1889.7,Uh not yet. Yeah within five minutes yeah. Y left yeah left and then uh I have to kick you out. Yeah yeah.,NONE,NONE
TS3006c.D.argumentstructs.37,D,1877.09,1878.8,That you have five minutes left or,NONE,NONE
TS3006c.C.argumentstructs.33,C,1877.21,1891.16,Alright. No that's actu,NONE,NONE
TS3006c.D.argumentstructs.Daan.18,D,1880.69,1891.4,"So something like this. That should be pretty nice colour. But maybe the buttons, all buttons in red is maybe a bad contrast for colourblind people. Because the  of the green.",TS3006c.D.argumentstructs.Daan.16,"TS3006c.C.argumentstructs.Daan.22, TS3006c.B.argumentstructs.Daan.12"
TS3006c.B.argumentstructs.Daan.12,B,1890.76,1893.97,But the but the buttons have their own LEDs or not ?,TS3006c.D.argumentstructs.Daan.18,"TS3006c.D.argumentstructs.Daan.19, TS3006c.A.argumentstructs.Daan.25"
TS3006c.D.argumentstructs.Daan.19,D,1894.13,1894.55,Yeah.,TS3006c.B.argumentstructs.Daan.12,NONE
TS3006c.A.argumentstructs.Daan.25,A,1894.33,1895.71,They have LEDs but they have a colour.,TS3006c.B.argumentstructs.Daan.12,NONE
TS3006c.C.argumentstructs.Daan.22,C,1894.878,1912.06,"Red and green are actually the b the easiest to discriminate. Even for colourblind. They will see one of each as grey. But if you use uh green on blue, those kind of colours will look the same. I think.",TS3006c.D.argumentstructs.Daan.18,TS3006c.D.argumentstructs.Daan.20
TS3006c.D.argumentstructs.38,D,1899.76,1910.25,Yeah ? Yeah. Okay.,NONE,NONE
TS3006c.B.argumentstructs.25,B,1909.33,1909.88,Okay.,NONE,NONE
TS3006c.D.argumentstructs.Daan.20,D,1911.74,1913.21,So red buttons are okay ?,TS3006c.C.argumentstructs.Daan.22,"TS3006c.C.argumentstructs.Daan.23, TS3006c.B.argumentstructs.Daan.13, TS3006c.A.argumentstructs.Daan.26"
TS3006c.C.argumentstructs.Daan.23,C,1913.59,1914.24,I think so.,TS3006c.D.argumentstructs.Daan.20,NONE
TS3006c.B.argumentstructs.Daan.13,B,1914.54,1918.54,Okay. That that's a default uh setting. The the red buttons.,TS3006c.D.argumentstructs.Daan.20,NONE
TS3006c.A.argumentstructs.Daan.26,A,1914.8,1926.056,You can make them red. Yeah. But I think you need to keep in mind that the LEDs are just extra light.,TS3006c.D.argumentstructs.Daan.20,TS3006c.D.argumentstructs.Daan.21
TS3006c.D.argumentstructs.Daan.21,D,1928.52,1929.87,How do you mean ? Yeah.,TS3006c.A.argumentstructs.Daan.26,TS3006c.A.argumentstructs.Daan.27
TS3006c.A.argumentstructs.Daan.27,A,1929.91,1934.42,"Uh they they don't determine the colour that much, I think.",TS3006c.D.argumentstructs.Daan.21,"TS3006c.B.argumentstructs.Daan.14, TS3006c.A.argumentstructs.Daan.28"
TS3006c.B.argumentstructs.Daan.14,B,1932.61,1937.216,Okay. Yeah I I was think about a red uh red LEDs and blue LEDs and,TS3006c.A.argumentstructs.Daan.27,TS3006c.D.argumentstructs.Daan.22
TS3006c.A.argumentstructs.Daan.28,A,1937.79,1943.09,'Cause you have to print on them  you have a background. Each number is transparent.,TS3006c.A.argumentstructs.Daan.27,TS3006c.A.argumentstructs.Daan.29
TS3006c.D.argumentstructs.Daan.22,D,1937.85,1940.34,No that's that's too busy I guess.,TS3006c.B.argumentstructs.Daan.14,TS3006c.D.argumentstructs.Daan.23
TS3006c.B.argumentstructs.26,B,1939.95,1966.02,Yeah. Yeah. Okay. Okay. Yeah.,NONE,NONE
TS3006c.A.argumentstructs.Daan.29,A,1944.31,1952.36,Uh partly but you have to print on the number. Or the the sign. So you can't  change the colour so,TS3006c.A.argumentstructs.Daan.28,TS3006c.C.argumentstructs.Daan.24
TS3006c.D.argumentstructs.Daan.23,D,1950.56,1961.55,You better bet better better keep the LED and the button itself in the same colour I guess. So just an extra bit of light and attention.,TS3006c.D.argumentstructs.Daan.22,NONE
TS3006c.A.argumentstructs.45,A,1956.01,1968.79,Yeah. Bit of light. Bit of feedback. Yeah. Yeah.,NONE,NONE
