ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.C.argumentstructs.Daan.8,C,1310.54,1322.032,"How about we do a uh a pop-up screen, like the laptop. So that the only the simple functions will be visible at first. And then if you want",NONE,"TS3006c.A.argumentstructs.Daan.8, TS3006c.A.argumentstructs.Daan.9"
TS3006c.A.argumentstructs.Daan.8,A,1315.98,1317.17,If you can uh flip.,TS3006c.C.argumentstructs.Daan.8,TS3006c.D.argumentstructs.Daan.5
TS3006c.D.argumentstructs.Daan.5,D,1319.75,1323.391,Yeah ? That that you can press it and then it comes up ? Or,TS3006c.A.argumentstructs.Daan.8,NONE
TS3006c.A.argumentstructs.Daan.9,A,1323.074,1327.65,Uh so you have a the the side view.,TS3006c.C.argumentstructs.Daan.8,TS3006c.C.argumentstructs.Daan.9
TS3006c.C.argumentstructs.Daan.9,C,1323.11,1324.35,Yeah. Something like that.,TS3006c.A.argumentstructs.Daan.9,"TS3006c.D.argumentstructs.Daan.6, TS3006c.C.argumentstructs.Daan.10"
TS3006c.D.argumentstructs.Daan.6,D,1328.38,1335.642,But then the side view can be straight. If you have a pop-up screen. But I dunno if that's too expensive. I mean maybe it's too much,TS3006c.C.argumentstructs.Daan.9,NONE
TS3006c.A.argumentstructs.35,A,1342.767,1342.767,.,NONE,NONE
TS3006c.C.argumentstructs.28,C,1343.2,1344.91,I would draw it like this.,NONE,NONE
TS3006c.C.argumentstructs.Daan.10,C,1346.9,1357.96,"Let's say this is the side view. That you have a a screen that will come up here, and can go down that way. If you know what I mean. So that it would come up like that.",TS3006c.C.argumentstructs.Daan.9,TS3006c.A.argumentstructs.Daan.10
TS3006c.A.argumentstructs.Daan.10,A,1358.59,1363.2,"Okay so the buttons are on top here, and you flip it over that way.",TS3006c.C.argumentstructs.Daan.10,TS3006c.C.argumentstructs.Daan.11
TS3006c.C.argumentstructs.Daan.11,C,1362.45,1370.86,"Yeah or  preferably even keep the simple buttons here, and then under the screen even you could put more more advanced buttons.",TS3006c.A.argumentstructs.Daan.10,"TS3006c.A.argumentstructs.Daan.11, TS3006c.B.argumentstructs.Daan.4"
TS3006c.A.argumentstructs.36,A,1366.51,1367.16,Yeah.,NONE,NONE
TS3006c.A.argumentstructs.Daan.11,A,1368.67,1372.79,Oh yeah. Yeah yeah yeah yeah. Right. Yeah that's good idea.,TS3006c.C.argumentstructs.Daan.11,NONE
TS3006c.B.argumentstructs.18,B,1372.48,1375.71,the the more advanced options were uh for the for the menu.,NONE,NONE
TS3006c.A.argumentstructs.37,A,1376.0,1376.38,Yeah.,NONE,NONE
TS3006c.B.argumentstructs.Daan.4,B,1377.11,1382.6,But you you want  okay. You just want to hide them all ? The  oh.,TS3006c.C.argumentstructs.Daan.11,TS3006c.A.argumentstructs.Daan.12
TS3006c.A.argumentstructs.Daan.12,A,1381.6,1397.84,"No not all because you need most of them, the arrow buttons. But you can hide the okay and the back uh button. And the menu button also because when you flip it open  and you can maybe even drop the menu button because maybe if you flip it open it will auto activate amauto uh uh automatically.",TS3006c.B.argumentstructs.Daan.4,TS3006c.D.argumentstructs.Daan.7
TS3006c.D.argumentstructs.29,D,1391.2,1391.69,Yeah.,NONE,NONE
TS3006c.C.argumentstructs.29,C,1399.54,1399.88,yeah.,NONE,NONE
TS3006c.D.argumentstructs.Daan.7,D,1399.77,1406.1,So  okay b but you have t you need some button to flip this open.,TS3006c.A.argumentstructs.Daan.12,TS3006c.A.argumentstructs.Daan.13
TS3006c.A.argumentstructs.Daan.13,A,1405.08,1407.66,Why ? You could just make it mechanical.,TS3006c.D.argumentstructs.Daan.7,TS3006c.C.argumentstructs.Daan.12
TS3006c.C.argumentstructs.Daan.12,C,1405.63,1412.052,"True. True. But you can make a, yeah, you can make a trigger here. You know a simple uh  with a",TS3006c.A.argumentstructs.Daan.13,TS3006c.D.argumentstructs.Daan.8
TS3006c.D.argumentstructs.Daan.8,D,1409.75,1416.141,"Yeah.  Yeah and it says menu and it flips open and then you have the buttons to control it, in combination with your",TS3006c.C.argumentstructs.Daan.12,TS3006c.B.argumentstructs.Daan.5
TS3006c.B.argumentstructs.19,B,1414.4,1415.15,but it's it's not,NONE,NONE
