ae_id,speaker,start_time,end_time,sentence,source,targets
TS3007a.D.argumentstructs.Daan.1,D,1175.25,1197.31,"Five minutes ? Okay, I'll wrap it up quickly. Um I personally think it has to be multi-purpose. Uh most of the remote c uh remote controls are uh just for one purpose. And uh by making it multi-purpose, it uh has a new feature, adds a new feature to the market, and distinguish from uh from current products.",NONE,"TS3007a.D.argumentstructs.Daan.2, TS3007a.D.argumentstructs.Daan.4, TS3007a.A.argumentstructs.Daan.1"
TS3007a.A.argumentstructs.3,A,1182.27,1241.04,Yeah. Yeah. Mm-hmm. Okay. Okay. Okay.,NONE,NONE
TS3007a.D.argumentstructs.Daan.2,D,1197.82,1214.84,"Um maybe some other technology than infrared. Uh I rather find it very annoying um, like when someone is standing in front of the T_V_ then you can't switch it. Um  think about um sending it over radio waves or bluetooth.",TS3007a.D.argumentstructs.Daan.1,TS3007a.D.argumentstructs.Daan.3
TS3007a.D.argumentstructs.Daan.3,D,1216.01,1219.84,That might be a little bit uh expensive. Um,TS3007a.D.argumentstructs.Daan.2,NONE
TS3007a.D.argumentstructs.Daan.4,D,1221.27,1223.61,And something like an L_C_D_ screen.,TS3007a.D.argumentstructs.Daan.1,TS3007a.B.argumentstructs.Daan.1
TS3007a.B.argumentstructs.Daan.1,B,1224.84,1225.74,For what purpose ?,TS3007a.D.argumentstructs.Daan.4,TS3007a.D.argumentstructs.Daan.5
TS3007a.D.argumentstructs.Daan.5,D,1226.26,1241.44,"Um uh like I said here um  Maybe it's easy. It's nice as an added feature feature, that um,  when you're on a certain channel, you can see on the L_C_D_ screen uh what programmes are coming up or",TS3007a.B.argumentstructs.Daan.1,NONE
TS3007a.A.argumentstructs.Daan.1,A,1242.37,1255.1,"So it be uh a multi-purpose uh very technically uh high uh remote ? Yeah, it must be really uh innovative, technical-wise ?",TS3007a.D.argumentstructs.Daan.1,"TS3007a.D.argumentstructs.Daan.6, TS3007a.A.argumentstructs.Daan.2"
TS3007a.D.argumentstructs.7,D,1249.44,1250.8,"From my point of view, yeah.",NONE,NONE
TS3007a.D.argumentstructs.Daan.6,D,1255.25,1267.69,"Yeah, it has to be uh  Yeah, our company is very uh good in making new innovative uh things.",TS3007a.A.argumentstructs.Daan.1,NONE
TS3007a.A.argumentstructs.4,A,1265.44,1265.79,Yeah.,NONE,NONE
TS3007a.A.argumentstructs.Daan.2,A,1268.07,1275.008,"So yeah, I I agree with you. So we must focus on things who are really uh really add something to uh to",TS3007a.A.argumentstructs.Daan.1,NONE
