ae_id,speaker,start_time,end_time,sentence,source,targets
TS3007b.C.argumentstructs.Daan.1,C,546.9,552.48,"When you mentioned uh improving functions, what uh what do you mean by that what what are you think about ?",NONE,TS3007b.D.argumentstructs.Daan.1
TS3007b.D.argumentstructs.Daan.1,D,551.03,567.121,"Uh not not the r not the functions, but uh it came out that a lot of buttons weren't even used uh on a remote control. So you can have a remote control full of buttons, a hundreds hundreds of buttons, but if you don't use them, yeah it's",TS3007b.C.argumentstructs.Daan.1,TS3007b.C.argumentstructs.Daan.2
TS3007b.C.argumentstructs.18,C,554.17,555.78,"Uh, the funtionability.",NONE,NONE
TS3007b.A.argumentstructs.4,A,566.41,566.66,Yeah.,NONE,NONE
TS3007b.C.argumentstructs.Daan.2,C,566.88,569.38,"Ah okay, so focusing more on the used buttons.",TS3007b.D.argumentstructs.Daan.1,"TS3007b.D.argumentstructs.Daan.2, TS3007b.C.argumentstructs.Daan.3"
TS3007b.D.argumentstructs.Daan.2,D,568.95,579.456,"Yeah, they have to be on it j just to t to get it done if necessary, but um the most used buttons uh have to be bigger or",TS3007b.C.argumentstructs.Daan.2,NONE
TS3007b.C.argumentstructs.19,C,570.73,571.02,Yeah.,NONE,NONE
TS3007b.C.argumentstructs.Daan.3,C,580.8,589.16,"Could you use perhaps uh one button for multiple functions, like example pressing it in longer makes it switch to an different function for example.",TS3007b.C.argumentstructs.Daan.2,"TS3007b.D.argumentstructs.Daan.3, TS3007b.C.argumentstructs.Daan.4"
TS3007b.D.argumentstructs.Daan.3,D,588.53,592.01,"Yeah, perhaps. Just for the minor functions perhaps.",TS3007b.C.argumentstructs.Daan.3,TS3007b.D.argumentstructs.Daan.4
TS3007b.C.argumentstructs.20,C,590.39,590.66,Thank you.,NONE,NONE
TS3007b.C.argumentstructs.Daan.4,C,592.16,594.3,"Yeah, ma perhaps, just just an idea.",TS3007b.C.argumentstructs.Daan.3,NONE
TS3007b.D.argumentstructs.Daan.4,D,594.59,599.14,"Just to get less buttons on the remote control, to make it easier and quicker to learn.",TS3007b.D.argumentstructs.Daan.3,NONE
TS3007b.C.argumentstructs.21,C,599.51,599.87,Yeah.,NONE,NONE
