file_name,turn_number,current_node_id,gpt_ans_node_id,ans_node_id,judgement,current_node_id_index,gpt_ans_node_id_index,ans_node_id_index,distance_from_ans,contains_answer
ES2004b - Target audience,0,ES2004b.D.argumentstructs.Erik.8,ROOT,NONE,NONE,1,0,0,1,False
ES2004b - Target audience,1,ES2004b.A.argumentstructs.Erik.6,ES2004b.D.argumentstructs.Erik.8,ES2004b.D.argumentstructs.Erik.8,True,3,1,1,2,True
ES2004b - Target audience,2,ES2004b.A.argumentstructs.Erik.7,ES2004b.A.argumentstructs.Erik.6,ES2004b.A.argumentstructs.Erik.6,True,5,3,3,2,True
ES2004b - Target audience,3,ES2004b.D.argumentstructs.Erik.9,ES2004b.A.argumentstructs.Erik.7,ES2004b.D.argumentstructs.Erik.8,False,6,5,1,5,True
ES2004b - Target audience,4,ES2004b.C.argumentstructs.Erik.11,ES2004b.D.argumentstructs.Erik.9,ES2004b.B.argumentstructs.Erik.10,False,8,6,11,3,False
ES2004b - Target audience,5,ES2004b.B.argumentstructs.Erik.10,ES2004b.D.argumentstructs.Erik.9,ES2004b.D.argumentstructs.Erik.8,False,11,6,1,10,True
ES2004b - Touch screen,0,ES2004b.A.argumentstructs.Erik.4,ROOT,ES2004b.B.argumentstructs.Erik.7,NONE,1,0,3,2,False
ES2004b - Touch screen,1,ES2004b.C.argumentstructs.Erik.5,ES2004b.A.argumentstructs.Erik.4,ES2004b.B.argumentstructs.Erik.7,False,2,1,3,1,False
ES2004b - Touch screen,2,ES2004b.B.argumentstructs.Erik.7,ES2004b.A.argumentstructs.Erik.4,NONE,False,3,1,0,3,False
ES2004b - Touch screen,3,ES2004b.C.argumentstructs.Erik.6,ES2004b.B.argumentstructs.Erik.7,ES2004b.B.argumentstructs.Erik.7,True,5,3,3,2,True
ES2004b - Touch screen,4,ES2004b.B.argumentstructs.Erik.8,ES2004b.C.argumentstructs.Erik.6,ES2004b.C.argumentstructs.Erik.6,True,6,5,5,1,True
ES2004b - Touch screen,5,ES2004b.C.argumentstructs.Erik.7,ES2004b.A.argumentstructs.Erik.4,ES2004b.B.argumentstructs.Erik.8,False,7,1,6,1,True
ES2004b - Touch screen,6,ES2004b.D.argumentstructs.Erik.7,ES2004b.B.argumentstructs.Erik.8,ES2004b.B.argumentstructs.Erik.8,True,9,6,6,3,True
ES2004b - Touch screen,7,ES2004b.B.argumentstructs.Erik.9,ES2004b.B.argumentstructs.Erik.8,ES2004b.B.argumentstructs.Erik.7,False,10,6,3,7,True
ES2004b - Touch screen,8,ES2004b.C.argumentstructs.Erik.9,ES2004b.B.argumentstructs.Erik.8,ES2004b.B.argumentstructs.Erik.9,False,14,6,10,4,True
ES2004b - Touch screen,9,ES2004b.A.argumentstructs.Erik.5,ES2004b.B.argumentstructs.Erik.8,ES2004b.B.argumentstructs.Erik.7,False,15,6,3,12,False
ES2004b - Touch screen,10,ES2004b.C.argumentstructs.Erik.10,ES2004b.C.argumentstructs.Erik.9,ES2004b.A.argumentstructs.Erik.5,False,16,14,15,1,True
ES2004b - Video plus,0,ES2004b.B.argumentstructs.Erik.11,ROOT,NONE,NONE,0,0,0,0,False
