file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2004b - Target audience,0.4,6,0,4,2
ES2004b - Touch screen,0.3,11,0,4,3
ES2004b - Video plus,0.4444444444444444,19,0,7,5
ES2004c - Battery options,0.35294117647058826,35,0,11,7
ES2004c - Different fasciae,0.38461538461538464,14,0,4,4
ES2004d - Rubber remote,0.47619047619047616,22,0,10,9
ES2005b - Lost remote,0.2222222222222222,19,0,7,5
ES2005c - LCD screen,0.19047619047619047,22,0,6,6
ES2005c - Rechargeable,0.225,41,0,13,6
ES2005c - Remote casing,0.3333333333333333,16,0,5,4
ES2005c - Remote casings,0.22727272727272727,23,0,7,7
ES2005c - Remote color,0.21428571428571427,15,0,5,10
ES2005d - Trend score,0.5,13,0,6,4
ES2006a - Remote first ideas,0.38095238095238093,22,0,9,6
ES2006b - Target audience,0.15,21,0,8,6
ES2006b - Voice recognition or buttons,0.45454545454545453,12,0,4,4
ES2006b - Voice recognition,0.23529411764705882,18,0,5,7
ES2006d - Flipping open,0.29411764705882354,18,0,5,9
