file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,7,2
ES2002a - Remote design wrap up,38.46%,14,0,13,4
ES2002a - Remote functionality,53.33%,31,0,30,8
ES2002b - Desired functions,52.38%,22,0,21,8
ES2002b - Target audience,58.62%,30,0,29,6
ES2002c - LCD display,58.33%,13,0,12,6
ES2002c - Light option,70.00%,21,0,20,11
ES2002c - Remote shape,63.64%,23,0,22,7
ES2002c - Technology,40.00%,16,0,15,4
ES2002d - Digital pens,33.33%,13,0,12,3
ES2002d - Jog dial use,60.00%,21,0,20,7
ES2002d - Leadership,61.54%,14,0,13,5
ES2002d - Remote height,56.25%,17,0,16,8
ES2002d - Remote size,70.00%,11,0,10,7
ES2002d - Remote width,50.00%,13,0,12,5
ES2002d - Teamwork,33.33%,25,0,24,6
ES2003a - Marktpositie AB,42.86%,22,0,21,9
ES2003a - User wishes,64.29%,15,0,14,5
ES2003b - Joystick use,47.62%,22,0,21,9
ES2003b - Remote purpose,44.44%,46,0,45,6
ES2003c - Manufacturer codes,55.56%,19,0,18,6
ES2003c - Remote design,40.91%,23,0,22,8
ES2003c - Three types of batteries,46.67%,16,0,15,5
ES2003c - USB functionality,47.83%,24,0,23,11
ES2003d - Fashion score,47.50%,41,0,40,14
ES2003d - Innovation score,41.67%,13,0,12,4
ES2003d - Lost remote score,50.00%,23,0,22,5
ES2003d - Remote cost,60.55%,110,0,38,6
ES2004a - Older generation,57.89%,20,0,19,5
ES2004b - Batteries,50.00%,15,0,14,8
ES2004b - Combined remote,50.00%,19,0,18,7
ES2004b - Remote design,41.18%,18,0,17,3
ES2004b - Target audience,40.00%,6,0,5,2
ES2004b - Touch screen,50.00%,11,0,8,3
ES2004b - Video plus,44.44%,19,0,18,5
ES2004c - Battery options,58.82%,35,0,33,7
ES2004c - Different fasciae,46.15%,14,0,13,4
ES2004d - Rubber remote,57.14%,22,0,21,9
ES2005b - Lost remote,50.00%,19,0,18,5
ES2005c - LCD screen,52.38%,22,0,21,6
ES2005c - Rechargeable,37.50%,41,0,40,6
ES2005c - Remote casing,40.00%,16,0,15,4
ES2005c - Remote casings,59.09%,23,0,22,7
ES2005c - Remote color,71.43%,15,0,14,10
ES2005d - Trend score,58.33%,13,0,11,4
ES2006a - Remote first ideas,42.86%,22,0,21,6
ES2006b - Target audience,60.00%,21,0,20,6
ES2006b - Voice recognition or buttons,36.36%,12,0,11,4
ES2006b - Voice recognition,41.18%,18,0,17,7
ES2006d - Flipping open,64.71%,18,0,16,9
