file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,28.57%,8,0,3,2
ES2002a - Remote design wrap up,46.15%,14,0,5,4
ES2002a - Remote functionality,33.33%,31,0,8,8
ES2002b - Desired functions,57.14%,22,0,7,8
ES2002b - Target audience,37.93%,30,0,6,6
ES2002c - LCD display,16.67%,13,0,4,6
ES2002c - Light option,40.00%,21,0,6,11
ES2002c - Remote shape,40.91%,23,0,9,7
ES2002c - Technology,40.00%,16,0,4,4
ES2002d - Digital pens,33.33%,13,0,5,3
ES2002d - Jog dial use,35.00%,21,0,6,7
ES2002d - Leadership,46.15%,14,0,5,5
ES2002d - Remote height,43.75%,17,0,6,8
ES2002d - Remote size,70.00%,11,0,3,7
ES2002d - Remote width,41.67%,13,0,3,5
ES2002d - Teamwork,25.00%,25,0,5,6
ES2003a - Marktpositie AB,23.81%,22,0,6,9
ES2003a - User wishes,42.86%,15,0,3,5
ES2003b - Joystick use,38.10%,22,0,5,9
ES2003b - Remote purpose,40.00%,46,0,10,6
ES2003c - Manufacturer codes,50.00%,19,0,6,6
ES2003c - Remote design,27.27%,23,0,7,8
ES2003c - Three types of batteries,33.33%,16,0,4,5
ES2003c - USB functionality,47.83%,24,0,8,11
ES2003d - Fashion score,35.00%,41,0,8,14
ES2003d - Innovation score,33.33%,13,0,5,4
ES2003d - Lost remote score,40.91%,23,0,4,5
ES2003d - Remote cost,37.61%,110,0,8,6
ES2004a - Older generation,47.37%,20,0,4,5
ES2004b - Batteries,28.57%,15,0,5,8
ES2004b - Combined remote,38.89%,19,0,6,7
ES2004b - Remote design,35.29%,18,0,5,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,50.00%,11,0,3,3
ES2004b - Video plus,50.00%,19,0,5,5
ES2004c - Battery options,58.82%,35,0,7,7
ES2004c - Different fasciae,30.77%,14,0,5,4
ES2004d - Rubber remote,42.86%,22,0,6,9
ES2005b - Lost remote,55.56%,19,0,8,5
ES2005c - LCD screen,33.33%,22,0,6,6
ES2005c - Rechargeable,42.50%,41,0,10,6
ES2005c - Remote casing,26.67%,16,0,6,4
ES2005c - Remote casings,27.27%,23,0,7,7
ES2005c - Remote color,35.71%,15,0,7,10
ES2005d - Trend score,41.67%,13,0,0,4
ES2006a - Remote first ideas,42.86%,22,0,10,6
ES2006b - Target audience,25.00%,21,0,5,6
ES2006b - Voice recognition or buttons,54.55%,12,0,3,4
ES2006b - Voice recognition,29.41%,18,0,4,7
ES2006d - Flipping open,52.94%,18,0,7,9
