file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,5,2
ES2002a - Remote design wrap up,46.15%,14,0,7,4
ES2002a - Remote functionality,50.00%,31,0,13,8
ES2002b - Desired functions,57.14%,22,0,11,8
ES2002b - Target audience,34.48%,30,0,11,6
ES2002c - LCD display,50.00%,13,0,7,6
ES2002c - Light option,50.00%,21,0,8,11
ES2002c - Remote shape,54.55%,23,0,12,7
ES2002c - Technology,46.67%,16,0,8,4
ES2002d - Digital pens,41.67%,13,0,5,3
ES2002d - Jog dial use,50.00%,21,0,10,7
ES2002d - Leadership,61.54%,14,0,7,5
ES2002d - Remote height,43.75%,17,0,7,8
ES2002d - Remote size,50.00%,11,0,4,7
ES2002d - Remote width,50.00%,13,0,4,5
ES2002d - Teamwork,41.67%,25,0,10,6
ES2003a - Marktpositie AB,42.86%,22,0,12,9
ES2003a - User wishes,57.14%,15,0,8,5
ES2003b - Joystick use,52.38%,22,0,8,9
ES2003b - Remote purpose,44.44%,46,0,12,6
ES2003c - Manufacturer codes,55.56%,19,0,7,6
ES2003c - Remote design,22.73%,23,0,9,8
ES2003c - Three types of batteries,46.67%,16,0,6,5
ES2003c - USB functionality,34.78%,24,0,9,11
ES2003d - Fashion score,50.00%,41,0,19,14
