file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,3,2
ES2002a - Remote design wrap up,38.46%,14,0,7,4
ES2002a - Remote functionality,46.67%,31,0,12,8
ES2002b - Desired functions,66.67%,22,0,12,8
ES2002b - Target audience,34.48%,30,0,9,6
ES2002c - LCD display,50.00%,13,0,7,6
ES2002c - Light option,55.00%,21,0,9,11
ES2002c - Remote shape,59.09%,23,0,11,7
ES2002c - Technology,33.33%,16,0,6,4
ES2002d - Digital pens,33.33%,13,0,5,3
ES2002d - Jog dial use,50.00%,21,0,10,7
ES2002d - Leadership,69.23%,14,0,7,5
ES2002d - Remote height,31.25%,17,0,7,8
ES2002d - Remote size,50.00%,11,0,4,7
ES2002d - Remote width,50.00%,13,0,4,5
ES2002d - Teamwork,41.67%,25,0,10,6
ES2003a - Marktpositie AB,42.86%,22,0,11,9
ES2003a - User wishes,57.14%,15,0,5,5
ES2003b - Joystick use,61.90%,22,0,8,9
ES2003b - Remote purpose,46.67%,46,0,14,6
ES2003c - Manufacturer codes,66.67%,19,0,6,6
ES2003c - Remote design,27.27%,23,0,8,8
ES2003c - Three types of batteries,53.33%,16,0,6,5
ES2003c - USB functionality,47.83%,24,0,10,11
ES2003d - Fashion score,55.00%,41,0,20,14
ES2003d - Innovation score,58.33%,13,0,7,4
ES2003d - Lost remote score,45.45%,23,0,7,5
ES2003d - Remote cost,52.29%,110,0,21,6
ES2004a - Older generation,57.89%,20,0,10,5
ES2004b - Batteries,42.86%,15,0,7,8
ES2004b - Combined remote,66.67%,19,0,7,7
ES2004b - Remote design,41.18%,18,0,5,3
ES2004b - Target audience,60.00%,6,0,2,2
ES2004b - Touch screen,40.00%,11,0,3,3
ES2004b - Video plus,61.11%,19,0,10,5
ES2004c - Battery options,55.88%,35,0,15,7
ES2004c - Different fasciae,38.46%,14,0,4,4
ES2004d - Rubber remote,47.62%,22,0,4,9
ES2005b - Lost remote,44.44%,19,0,10,5
ES2005c - LCD screen,33.33%,22,0,9,6
ES2005c - Rechargeable,37.50%,41,0,18,6
ES2005c - Remote casing,40.00%,16,0,5,4
ES2005c - Remote casings,63.64%,23,0,8,7
ES2005c - Remote color,35.71%,15,0,8,10
ES2005d - Trend score,50.00%,13,0,6,4
ES2006a - Remote first ideas,42.86%,22,0,8,6
ES2006b - Target audience,45.00%,21,0,9,6
ES2006b - Voice recognition or buttons,54.55%,12,0,5,4
ES2006b - Voice recognition,41.18%,18,0,8,7
ES2006d - Flipping open,52.94%,18,0,9,9
