file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,42.86%,8,0,5,2
ES2002a - Remote design wrap up,46.15%,14,0,7,4
ES2002a - Remote functionality,56.67%,31,0,15,8
ES2002b - Desired functions,57.14%,22,0,12,8
ES2002b - Target audience,41.38%,30,0,10,6
ES2002c - LCD display,58.33%,13,0,7,6
ES2002c - Light option,65.00%,21,0,9,11
ES2002c - Remote shape,63.64%,23,0,11,7
ES2002c - Technology,53.33%,16,0,6,4
ES2002d - Digital pens,33.33%,13,0,4,3
ES2002d - Jog dial use,55.00%,21,0,9,7
ES2002d - Leadership,84.62%,14,0,9,5
ES2002d - Remote height,31.25%,17,0,7,8
ES2002d - Remote size,90.00%,11,0,7,7
ES2002d - Remote width,75.00%,13,0,5,5
ES2002d - Teamwork,37.50%,25,0,8,6
ES2003a - Marktpositie AB,52.38%,22,0,12,9
ES2003a - User wishes,35.71%,15,0,5,5
ES2003b - Joystick use,61.90%,22,0,10,9
ES2003b - Remote purpose,62.22%,46,0,11,6
ES2003c - Manufacturer codes,72.22%,19,0,12,6
ES2003c - Remote design,40.91%,23,0,11,8
ES2003c - Three types of batteries,46.67%,16,0,5,5
ES2003c - USB functionality,52.17%,24,0,12,11
ES2003d - Fashion score,57.50%,41,0,18,14
ES2003d - Innovation score,50.00%,13,0,7,4
ES2003d - Lost remote score,59.09%,23,0,7,5
ES2003d - Remote cost,57.80%,110,0,17,6
ES2004a - Older generation,63.16%,20,0,6,5
ES2004b - Batteries,57.14%,15,0,5,8
ES2004b - Combined remote,44.44%,19,0,8,7
ES2004b - Remote design,47.06%,18,0,5,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,70.00%,11,0,4,3
ES2004b - Video plus,44.44%,19,0,7,5
ES2004c - Battery options,58.82%,35,0,14,7
ES2004c - Different fasciae,46.15%,14,0,4,4
ES2004d - Rubber remote,57.14%,22,0,10,9
ES2005b - Lost remote,44.44%,19,0,8,5
ES2005c - LCD screen,47.62%,22,0,12,6
ES2005c - Rechargeable,42.50%,41,0,14,6
ES2005c - Remote casing,33.33%,16,0,7,4
ES2005c - Remote casings,50.00%,23,0,8,7
ES2005c - Remote color,21.43%,15,0,4,10
ES2005d - Trend score,50.00%,13,0,6,4
ES2006a - Remote first ideas,42.86%,22,0,10,6
ES2006b - Target audience,45.00%,21,0,9,6
ES2006b - Voice recognition or buttons,54.55%,12,0,4,4
ES2006b - Voice recognition,47.06%,18,0,7,7
ES2006d - Flipping open,52.94%,18,0,9,9
