file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,28.57%,8,0,3,2
ES2002a - Remote design wrap up,46.15%,14,0,6,4
ES2002a - Remote functionality,53.33%,31,0,17,8
ES2002b - Desired functions,66.67%,22,0,15,8
ES2002b - Target audience,58.62%,30,0,14,6
ES2002c - LCD display,66.67%,13,0,9,6
ES2002c - Light option,65.00%,21,0,9,11
ES2002c - Remote shape,63.64%,23,0,14,7
ES2002c - Technology,46.67%,16,0,8,4
ES2002d - Digital pens,41.67%,13,0,6,3
ES2002d - Jog dial use,55.00%,21,0,9,7
ES2002d - Leadership,76.92%,14,0,11,5
ES2002d - Remote height,37.50%,17,0,7,8
ES2002d - Remote size,70.00%,11,0,5,7
ES2002d - Remote width,58.33%,13,0,5,5
ES2002d - Teamwork,58.33%,25,0,9,6
ES2003a - Marktpositie AB,47.62%,22,0,15,9
ES2003a - User wishes,42.86%,15,0,8,5
ES2003b - Joystick use,52.38%,22,0,9,9
ES2003b - Remote purpose,57.78%,46,0,18,6
ES2003c - Manufacturer codes,66.67%,19,0,12,6
ES2003c - Remote design,45.45%,23,0,12,8
ES2003c - Three types of batteries,46.67%,16,0,7,5
ES2003c - USB functionality,52.17%,24,0,12,11
ES2003d - Fashion score,55.00%,41,0,21,14
ES2003d - Innovation score,33.33%,13,0,7,4
ES2003d - Lost remote score,54.55%,23,0,8,5
ES2003d - Remote cost,55.96%,110,0,24,6
ES2004a - Older generation,68.42%,20,0,9,5
ES2004b - Batteries,57.14%,15,0,7,8
ES2004b - Combined remote,55.56%,19,0,9,7
ES2004b - Remote design,52.94%,18,0,5,3
ES2004b - Target audience,40.00%,6,0,4,2
ES2004b - Touch screen,40.00%,11,0,4,3
ES2004b - Video plus,50.00%,19,0,9,5
ES2004c - Battery options,67.65%,35,0,15,7
ES2004c - Different fasciae,53.85%,14,0,6,4
ES2004d - Rubber remote,57.14%,22,0,12,9
ES2005b - Lost remote,55.56%,19,0,10,5
ES2005c - LCD screen,47.62%,22,0,14,6
ES2005c - Rechargeable,40.00%,41,0,20,6
ES2005c - Remote casing,40.00%,16,0,6,4
ES2005c - Remote casings,54.55%,23,0,8,7
ES2005c - Remote color,35.71%,15,0,9,10
ES2005d - Trend score,50.00%,13,0,5,4
ES2006a - Remote first ideas,61.90%,22,0,12,6
ES2006b - Target audience,45.00%,21,0,12,6
ES2006b - Voice recognition or buttons,54.55%,12,0,4,4
ES2006b - Voice recognition,41.18%,18,0,12,7
ES2006d - Flipping open,58.82%,18,0,11,9
