file_name,rate,num_solved_problems,num_options_without_answer,build_tree_depth,real_tree_depth
ES2002a - Regions,85.71%,8,0,3,2
ES2002a - Remote design wrap up,53.85%,14,0,6,4
ES2002a - Remote functionality,63.33%,31,0,11,8
ES2002b - Desired functions,80.95%,22,0,11,8
ES2002b - Target audience,58.62%,30,0,12,6
ES2002c - LCD display,83.33%,13,0,4,6
ES2002c - Light option,55.00%,21,0,8,11
ES2002c - Remote shape,68.18%,23,0,10,7
ES2002c - Technology,66.67%,16,0,6,4
ES2002d - Digital pens,58.33%,13,0,6,3
ES2002d - Jog dial use,65.00%,21,0,7,7
ES2002d - Leadership,69.23%,14,0,7,5
ES2002d - Remote height,50.00%,17,0,5,8
ES2002d - Remote size,70.00%,11,0,5,7
ES2002d - Remote width,66.67%,13,0,5,5
ES2002d - Teamwork,62.50%,25,0,9,6
ES2003a - Marktpositie AB,66.67%,22,0,7,9
ES2003a - User wishes,50.00%,15,0,6,5
ES2003b - Joystick use,80.95%,22,0,9,9
ES2003b - Remote purpose,66.67%,46,0,15,6
ES2003c - Manufacturer codes,77.78%,19,0,8,6
ES2003c - Remote design,63.64%,23,0,8,8
ES2003c - Three types of batteries,46.67%,16,0,6,5
ES2003c - USB functionality,60.87%,24,0,10,11
ES2003d - Fashion score,60.00%,41,0,17,14
ES2003d - Innovation score,58.33%,13,0,8,4
ES2003d - Lost remote score,77.27%,23,0,6,5
ES2003d - Remote cost,62.39%,110,0,14,6
ES2004a - Older generation,73.68%,20,0,8,5
ES2004b - Batteries,64.29%,15,0,6,8
ES2004b - Combined remote,66.67%,19,0,8,7
ES2004b - Remote design,64.71%,18,0,4,3
ES2004b - Target audience,80.00%,6,0,2,2
ES2004b - Video plus,61.11%,19,0,7,5
ES2004c - Battery options,76.47%,35,0,15,7
ES2004c - Different fasciae,76.92%,14,0,5,4
ES2004d - Rubber remote,71.43%,22,0,11,9
ES2005b - Lost remote,72.22%,19,0,7,5
ES2005c - LCD screen,61.90%,22,0,8,6
ES2005c - Rechargeable,57.50%,41,0,18,6
ES2005c - Remote casing,66.67%,16,0,5,4
ES2005c - Remote casings,59.09%,23,0,9,7
ES2005c - Remote color,57.14%,15,0,8,10
ES2005d - Trend score,58.33%,13,0,4,4
ES2006a - Remote first ideas,90.48%,22,0,9,6
ES2006b - Target audience,45.00%,21,0,9,6
ES2006b - Voice recognition or buttons,90.91%,12,0,3,4
ES2006b - Voice recognition,70.59%,18,0,7,7
ES2006d - Flipping open,70.59%,18,0,8,9
