file_name,turn_number,current_node_id,gpt_ans_node_id,ans_node_id,judgement,current_node_id_index,gpt_ans_node_id_index,ans_node_id_index,distance_from_ans,contains_answer
ES2002a - Regions,0,ES2002a.D.argumentstructs.Erik.1,ROOT,NONE,NONE,0,0,0,0,False
ES2002a - Regions,1,ES2002a.B.argumentstructs.Erik.3,ES2002a.D.argumentstructs.Erik.1,ES2002a.D.argumentstructs.Erik.1,True,1,0,0,1,True
ES2002a - Regions,2,ES2002a.B.argumentstructs.Erik.1,ES2002a.B.argumentstructs.Erik.3,ES2002a.D.argumentstructs.Erik.1,False,4,1,0,4,True
ES2002a - Regions,3,ES2002a.D.argumentstructs.Erik.2,ES2002a.D.argumentstructs.Erik.1,ES2002a.B.argumentstructs.Erik.1,False,6,0,4,2,True
ES2002a - Regions,4,ES2002a.D.argumentstructs.Erik.3,ES2002a.B.argumentstructs.Erik.3,ES2002a.B.argumentstructs.Erik.1,False,7,1,4,3,True
ES2002a - Regions,5,ES2002a.A.argumentstructs.Erik.1,ES2002a.B.argumentstructs.Erik.1,ES2002a.D.argumentstructs.Erik.1,False,8,4,0,8,True
ES2002a - Regions,6,ES2002a.B.argumentstructs.Erik.2,ES2002a.A.argumentstructs.Erik.1,ES2002a.A.argumentstructs.Erik.1,True,9,8,8,1,True
ES2002a - Regions,7,ES2002a.D.argumentstructs.Erik.4,ES2002a.B.argumentstructs.Erik.2,ES2002a.A.argumentstructs.Erik.1,False,10,9,8,2,True
ES2002a - Remote design wrap up,0,ES2002a.D.argumentstructs.Erik.5,ROOT,NONE,NONE,0,0,0,0,False
ES2002a - Remote design wrap up,1,ES2002a.D.argumentstructs.Erik.6,ES2002a.D.argumentstructs.Erik.5,ES2002a.D.argumentstructs.Erik.5,True,1,0,0,1,True
ES2002a - Remote design wrap up,2,ES2002a.D.argumentstructs.Erik.7,ES2002a.D.argumentstructs.Erik.5,ES2002a.B.argumentstructs.Erik.4,False,3,0,4,1,False
ES2002a - Remote design wrap up,3,ES2002a.B.argumentstructs.Erik.4,ES2002a.D.argumentstructs.Erik.5,ES2002a.D.argumentstructs.Erik.5,True,4,0,0,4,True
ES2002a - Remote design wrap up,4,ES2002a.D.argumentstructs.Erik.8,ES2002a.B.argumentstructs.Erik.4,ES2002a.B.argumentstructs.Erik.4,True,5,4,4,1,True
ES2002a - Remote design wrap up,5,ES2002a.A.argumentstructs.Erik.2,ES2002a.B.argumentstructs.Erik.4,ES2002a.D.argumentstructs.Erik.5,False,6,4,0,6,True
ES2002a - Remote design wrap up,6,ES2002a.D.argumentstructs.Erik.9,ES2002a.D.argumentstructs.Erik.8,ES2002a.A.argumentstructs.Erik.2,False,7,5,6,1,True
ES2002a - Remote design wrap up,7,ES2002a.A.argumentstructs.Erik.3,ES2002a.A.argumentstructs.Erik.2,ES2002a.A.argumentstructs.Erik.2,True,8,6,6,2,True
ES2002a - Remote design wrap up,8,ES2002a.B.argumentstructs.Erik.5,ES2002a.D.argumentstructs.Erik.9,ES2002a.A.argumentstructs.Erik.3,False,9,7,8,1,True
ES2002a - Remote design wrap up,9,ES2002a.D.argumentstructs.Erik.10,ES2002a.B.argumentstructs.Erik.5,ES2002a.A.argumentstructs.Erik.3,False,10,9,8,2,True
ES2002a - Remote design wrap up,10,ES2002a.A.argumentstructs.Erik.4,ES2002a.A.argumentstructs.Erik.2,ES2002a.A.argumentstructs.Erik.2,True,14,6,6,8,True
ES2002a - Remote design wrap up,11,ES2002a.B.argumentstructs.Erik.7,ES2002a.D.argumentstructs.Erik.10,ES2002a.A.argumentstructs.Erik.4,False,15,10,14,1,True
ES2002a - Remote design wrap up,12,ES2002a.D.argumentstructs.Erik.11,ES2002a.B.argumentstructs.Erik.7,ES2002a.A.argumentstructs.Erik.4,False,16,15,14,2,True
ES2002a - Remote design wrap up,13,ES2002a.D.argumentstructs.Erik.12,ES2002a.D.argumentstructs.Erik.11,ES2002a.B.argumentstructs.Erik.7,False,17,16,15,2,True
